Timestamp: 2008.08.27. 13:41:06
Both: 1.0
Looser: -3.0
Neither: 0.0
Winner: 4.0


"run"|"tick"|"Strat2"|"Strat1"|"RngSeed"|"payoff1"|"payoff2"
117|10000.0|2|1|12|40000.0|-30000.0
118|10000.0|2|1|13|40000.0|-30000.0
119|10000.0|2|1|14|40000.0|-30000.0
120|10000.0|2|1|15|40000.0|-30000.0
121|10000.0|3|1|1|4.0|-3.0
122|10000.0|3|1|2|4.0|-3.0
123|10000.0|3|1|3|4.0|-3.0
124|10000.0|3|1|4|4.0|-3.0
125|10000.0|3|1|5|4.0|-3.0
126|10000.0|3|1|6|4.0|-3.0
127|10000.0|3|1|7|4.0|-3.0
128|10000.0|3|1|8|4.0|-3.0
129|10000.0|3|1|9|4.0|-3.0
130|10000.0|3|1|10|4.0|-3.0
131|10000.0|3|1|11|4.0|-3.0
132|10000.0|3|1|12|4.0|-3.0
133|10000.0|3|1|13|4.0|-3.0
134|10000.0|3|1|14|4.0|-3.0
135|10000.0|3|1|15|4.0|-3.0
136|10000.0|4|1|1|39996.0|-29997.0
137|10000.0|4|1|2|39996.0|-29997.0
138|10000.0|4|1|3|39996.0|-29997.0
139|10000.0|4|1|4|39996.0|-29997.0
140|10000.0|4|1|5|39996.0|-29997.0
141|10000.0|4|1|6|39996.0|-29997.0
142|10000.0|4|1|7|39996.0|-29997.0
143|10000.0|4|1|8|39996.0|-29997.0
144|10000.0|4|1|9|39996.0|-29997.0
145|10000.0|4|1|10|39996.0|-29997.0
146|10000.0|4|1|11|39996.0|-29997.0
147|10000.0|4|1|12|39996.0|-29997.0
148|10000.0|4|1|13|39996.0|-29997.0
149|10000.0|4|1|14|39996.0|-29997.0
150|10000.0|4|1|15|39996.0|-29997.0
151|10000.0|0|2|1|-9672.0|24754.0
152|10000.0|0|2|2|-9924.0|24943.0
153|10000.0|0|2|3|-10016.0|25012.0
154|10000.0|0|2|4|-10152.0|25114.0
155|10000.0|0|2|5|-10228.0|25171.0
156|10000.0|0|2|6|-9832.0|24874.0
157|10000.0|0|2|7|-9764.0|24823.0
158|10000.0|0|2|8|-10220.0|25165.0
159|10000.0|0|2|9|-9744.0|24808.0
160|10000.0|0|2|10|-9988.0|24991.0
161|10000.0|0|2|11|-9884.0|24913.0
162|10000.0|0|2|12|-10056.0|25042.0
163|10000.0|0|2|13|-10056.0|25042.0
164|10000.0|0|2|14|-9956.0|24967.0
165|10000.0|0|2|15|-10200.0|25150.0
166|10000.0|1|2|1|-30000.0|40000.0
167|10000.0|1|2|2|-30000.0|40000.0
168|10000.0|1|2|3|-30000.0|40000.0
169|10000.0|1|2|4|-30000.0|40000.0
170|10000.0|1|2|5|-30000.0|40000.0
171|10000.0|1|2|6|-30000.0|40000.0
172|10000.0|1|2|7|-30000.0|40000.0
173|10000.0|1|2|8|-30000.0|40000.0
174|10000.0|1|2|9|-30000.0|40000.0
175|10000.0|1|2|10|-30000.0|40000.0
176|10000.0|1|2|11|-30000.0|40000.0
177|10000.0|1|2|12|-30000.0|40000.0
178|10000.0|1|2|13|-30000.0|40000.0
179|10000.0|1|2|14|-30000.0|40000.0
180|10000.0|1|2|15|-30000.0|40000.0
181|10000.0|2|2|1|10000.0|10000.0
182|10000.0|2|2|2|10000.0|10000.0
183|10000.0|2|2|3|10000.0|10000.0
184|10000.0|2|2|4|10000.0|10000.0
185|10000.0|2|2|5|10000.0|10000.0
186|10000.0|2|2|6|10000.0|10000.0
187|10000.0|2|2|7|10000.0|10000.0
188|10000.0|2|2|8|10000.0|10000.0
189|10000.0|2|2|9|10000.0|10000.0
190|10000.0|2|2|10|10000.0|10000.0
191|10000.0|2|2|11|10000.0|10000.0
192|10000.0|2|2|12|10000.0|10000.0
193|10000.0|2|2|13|10000.0|10000.0
194|10000.0|2|2|14|10000.0|10000.0
195|10000.0|2|2|15|10000.0|10000.0
196|10000.0|3|2|1|10000.0|10000.0
197|10000.0|3|2|2|10000.0|10000.0
198|10000.0|3|2|3|10000.0|10000.0
199|10000.0|3|2|4|10000.0|10000.0
200|10000.0|3|2|5|10000.0|10000.0
201|10000.0|3|2|6|10000.0|10000.0
202|10000.0|3|2|7|10000.0|10000.0
203|10000.0|3|2|8|10000.0|10000.0
204|10000.0|3|2|9|10000.0|10000.0
205|10000.0|3|2|10|10000.0|10000.0
206|10000.0|3|2|11|10000.0|10000.0
207|10000.0|3|2|12|10000.0|10000.0
208|10000.0|3|2|13|10000.0|10000.0
209|10000.0|3|2|14|10000.0|10000.0
210|10000.0|3|2|15|10000.0|10000.0
211|10000.0|4|2|1|-30000.0|40000.0
212|10000.0|4|2|2|-30000.0|40000.0
213|10000.0|4|2|3|-30000.0|40000.0
214|10000.0|4|2|4|-30000.0|40000.0
215|10000.0|4|2|5|-30000.0|40000.0
216|10000.0|4|2|6|-30000.0|40000.0
217|10000.0|4|2|7|-30000.0|40000.0
218|10000.0|4|2|8|-30000.0|40000.0
219|10000.0|4|2|9|-30000.0|40000.0
220|10000.0|4|2|10|-30000.0|40000.0
221|10000.0|4|2|11|-30000.0|40000.0
222|10000.0|4|2|12|-30000.0|40000.0
223|10000.0|4|2|13|-30000.0|40000.0
224|10000.0|4|2|14|-30000.0|40000.0
225|10000.0|4|2|15|-30000.0|40000.0
226|10000.0|0|3|1|5082.0|5082.0
227|10000.0|0|3|2|5019.0|5019.0
228|10000.0|0|3|3|4996.0|4996.0
229|10000.0|0|3|4|4959.0|4966.0
230|10000.0|0|3|5|4940.0|4947.0
231|10000.0|0|3|6|5042.0|5042.0
232|10000.0|0|3|7|5059.0|5059.0
233|10000.0|0|3|8|4945.0|4945.0
234|10000.0|0|3|9|5064.0|5064.0
235|10000.0|0|3|10|5003.0|5003.0
236|10000.0|0|3|11|5029.0|5029.0
237|10000.0|0|3|12|4986.0|4986.0
238|10000.0|0|3|13|4986.0|4986.0
